iter	MultiClass
0	1.549352779
1	1.493999428
2	1.440454881
3	1.395582514
4	1.350969514
5	1.319050735
6	1.290897326
7	1.260856525
8	1.227716488
9	1.195651451
10	1.157220894
11	1.134394777
12	1.104422507
13	1.078820479
14	1.050206944
15	1.025594961
16	1.005424195
17	0.9795436373
18	0.9557293817
19	0.93378858
20	0.909185465
21	0.8920975423
22	0.8774454367
23	0.8643536196
24	0.8496468498
25	0.8344949029
26	0.8186530463
27	0.8035003922
28	0.7905969577
29	0.778253223
30	0.7639704134
31	0.7503605766
32	0.7400827413
33	0.7295227356
34	0.7159922557
35	0.704839029
36	0.6920395081
37	0.6798017831
38	0.6685429685
39	0.6580254665
40	0.6483665203
41	0.6400021042
42	0.6320636545
43	0.6236094136
44	0.6146503249
45	0.6056213381
46	0.5986134134
47	0.5911458675
48	0.5848948778
49	0.5785616371
50	0.5699060267
51	0.5612815646
52	0.554771921
53	0.5491416381
54	0.5438359151
55	0.5384055497
56	0.5314694979
57	0.5265306531
58	0.5206542167
59	0.5155508031
60	0.5101425059
61	0.5044433552
62	0.4999390814
63	0.4927485934
64	0.4872245974
65	0.4823846049
66	0.4765402497
67	0.4727106241
68	0.4679076603
69	0.463460043
70	0.4594272736
71	0.4552646444
72	0.4506970099
73	0.4461659297
74	0.4418799834
75	0.4370251201
76	0.4343227313
77	0.4314114812
78	0.4291525724
79	0.4257154742
80	0.4230305544
81	0.4204841616
82	0.4164048357
83	0.4132861539
84	0.4114573212
85	0.4092812141
86	0.4066523902
87	0.4039437358
88	0.4011692667
89	0.398500021
90	0.3954938099
91	0.3927993365
92	0.3896461436
93	0.3873999835
94	0.3845320504
95	0.382339416
96	0.3808309293
97	0.378321549
98	0.3761153361
99	0.3738492206
100	0.3720067099
101	0.3701811427
102	0.3672059255
103	0.3638784228
104	0.3620441325
105	0.3587116067
106	0.3564551844
107	0.3545942291
108	0.3517827039
109	0.3494331262
110	0.3475936757
111	0.3454453201
112	0.3434691601
113	0.3415777701
114	0.3396786184
115	0.3372060831
116	0.3356894587
117	0.3339915553
118	0.3321558294
119	0.3297912747
120	0.3278904449
121	0.3267026853
122	0.3248919818
123	0.3229863912
124	0.3215931096
125	0.3204343446
126	0.3187929332
127	0.3172577946
128	0.3156793687
129	0.3142771509
130	0.3127947254
131	0.3115223602
132	0.3101300768
133	0.3082644215
134	0.3069178077
135	0.305710561
136	0.3039096949
137	0.3025154112
138	0.3005524766
139	0.2992742246
140	0.2977746888
141	0.2959437165
142	0.2948440427
143	0.293722663
144	0.2923139078
145	0.2910273239
146	0.2901574593
147	0.2889861536
148	0.2878388854
149	0.2869094376
150	0.2859420381
151	0.2848189484
152	0.2837550198
153	0.2826967643
154	0.2814251014
155	0.2803117868
