Alert Name,Severity,Executive Summary,Status,Category,Action Taken,Hour,Minute,DayOfWeek,IsWeekend,Protocol,Port,Src_Private,Dst_Private,Same_Subnet,keyword_count,has_malware_kw,has_recon_kw,has_policy_kw,severity_ordinal,port_num,high_risk_port,off_hours,flow_count,bytes_transferred,duration_sec
Malware Beaconing,Medium,Host 192.168.20.17 shows unauthorized access attempt communication with 192.168.18.174 over TCP port 5900. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,9,12,5,1,TCP,5900,1,1,0,3,0,0,1,1,5900,1,0,0,0,0
Unauthorized Access Attempt,Medium,Host 192.168.26.133 shows port scan detected communication with 192.168.22.70 over UDP port 80. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,20,1,1,0,UDP,80,1,1,0,3,0,1,0,1,80,0,0,0,0,0
Anomalous SSH Activity,High,Host 192.168.25.244 shows uda - trojan horse traffic communication with 192.168.29.240 over UDP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,9,16,4,0,UDP,3389,1,1,0,3,1,0,0,2,3389,1,0,0,0,0
Anomalous SSH Activity,Critical,Host 192.168.29.123 shows anomalous ssh activity communication with 192.168.2.82 over ICMP port 8080. ,Malicious,Policy Violation,Escalated,0,29,1,0,ICMP,8080,1,1,0,1,0,0,1,3,8080,0,1,0,0,0
Unauthorized Access Attempt,High,Host 192.168.9.21 shows unauthorized access attempt communication with 192.168.2.1 over TCP port 8080. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,7,40,3,0,TCP,8080,1,1,0,3,0,0,1,2,8080,0,0,0,0,0
Brute Force Attempt,Medium,Host 192.168.1.168 shows data exfiltration pattern communication with 192.168.16.142 over UDP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,10,59,5,1,UDP,53,1,1,0,1,1,0,0,1,53,0,0,0,0,0
Suspicious DNS Query,Critical,Host 192.168.7.69 shows data exfiltration pattern communication with 192.168.28.213 over UDP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,13,21,5,1,UDP,53,1,1,0,1,1,0,0,3,53,0,0,0,0,0
Malware Beaconing,High,Host 192.168.25.177 shows anomalous ssh activity communication with 192.168.18.23 over ICMP port 80. ,Malicious,Policy Violation,Escalated,16,35,6,1,ICMP,80,1,1,0,1,0,0,1,2,80,0,0,0,0,0
Anomalous SSH Activity,Critical,Host 192.168.20.202 shows port scan detected communication with 192.168.4.145 over UDP port 3389. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,13,3,5,1,UDP,3389,1,1,0,3,0,1,0,3,3389,1,0,0,0,0
Brute Force Attempt,Critical,Host 192.168.20.34 shows unauthorized access attempt communication with 192.168.11.42 over UDP port 53. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,2,42,2,0,UDP,53,1,1,0,3,0,0,1,3,53,0,1,0,0,0
UDA - Trojan Horse Traffic,High,Host 192.168.10.53 shows port scan detected communication with 192.168.11.138 over UDP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,8,55,0,0,UDP,443,1,1,0,3,0,1,0,2,443,0,0,0,0,0
Brute Force Attempt,Medium,Host 192.168.20.131 shows suspicious dns query communication with 192.168.20.236 over TCP port 22. ,Malicious,False Positive,Closed,11,29,1,0,TCP,22,1,1,1,0,0,0,0,1,22,1,0,0,0,0
Port Scan Detected,Medium,Host 192.168.22.146 shows port scan detected communication with 192.168.22.8 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,7,53,5,1,TCP,5900,1,1,1,3,0,1,0,1,5900,1,0,0,0,0
UDA - Trojan Horse Traffic,High,Host 192.168.14.57 shows brute force attempt communication with 192.168.21.150 over TCP port 80. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,9,19,3,0,TCP,80,1,1,0,1,0,1,0,2,80,0,0,0,0,0
