Date,Time,Alert ID,Alert Name,Severity,Source Host,Protocol/Port,Destination IP,Executive Summary,Status,Category,Action Taken
02/01/2025,09:12:00 AM,510413999960963708,Malware Beaconing,Medium,192.168.20.17,TCP port 5900,192.168.18.174,Host 192.168.20.17 shows unauthorized access attempt communication with 192.168.18.174 over TCP port 5900. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/07/2025,08:01:00 PM,710205836861925650,Unauthorized Access Attempt,Medium,192.168.26.133,UDP port 80,192.168.22.70,Host 192.168.26.133 shows port scan detected communication with 192.168.22.70 over UDP port 80. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/31/2025,09:16:00 AM,128925973057567683,Anomalous SSH Activity,High,192.168.25.244,UDP port 3389,192.168.29.240,Host 192.168.25.244 shows uda - trojan horse traffic communication with 192.168.29.240 over UDP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/07/2025,12:29:00 AM,843430620452575301,Anomalous SSH Activity,Critical,192.168.29.123,ICMP port 8080,192.168.2.82,Host 192.168.29.123 shows anomalous ssh activity communication with 192.168.2.82 over ICMP port 8080. ,Malicious,Policy Violation,Escalated
01/30/2025,07:40:00 AM,298002865270491725,Unauthorized Access Attempt,High,192.168.9.21,TCP port 8080,192.168.2.1,Host 192.168.9.21 shows unauthorized access attempt communication with 192.168.2.1 over TCP port 8080. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/11/2025,10:59:00 AM,376054055234158253,Brute Force Attempt,Medium,192.168.1.168,UDP port 53,192.168.16.142,Host 192.168.1.168 shows data exfiltration pattern communication with 192.168.16.142 over UDP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/25/2025,01:21:00 PM,594788744774687162,Suspicious DNS Query,Critical,192.168.7.69,UDP port 53,192.168.28.213,Host 192.168.7.69 shows data exfiltration pattern communication with 192.168.28.213 over UDP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/19/2025,04:35:00 PM,901848495053748707,Malware Beaconing,High,192.168.25.177,ICMP port 80,192.168.18.23,Host 192.168.25.177 shows anomalous ssh activity communication with 192.168.18.23 over ICMP port 80. ,Malicious,Policy Violation,Escalated
01/04/2025,01:03:00 PM,387981491824917868,Anomalous SSH Activity,Critical,192.168.20.202,UDP port 3389,192.168.4.145,Host 192.168.20.202 shows port scan detected communication with 192.168.4.145 over UDP port 3389. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/15/2025,02:42:00 AM,947065201079900865,Brute Force Attempt,Critical,192.168.20.34,UDP port 53,192.168.11.42,Host 192.168.20.34 shows unauthorized access attempt communication with 192.168.11.42 over UDP port 53. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/06/2025,08:55:00 AM,257685318301322431,UDA - Trojan Horse Traffic,High,192.168.10.53,UDP port 443,192.168.11.138,Host 192.168.10.53 shows port scan detected communication with 192.168.11.138 over UDP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/07/2025,11:29:00 AM,334568682286517091,Brute Force Attempt,Medium,192.168.20.131,TCP port 22,192.168.20.236,Host 192.168.20.131 shows suspicious dns query communication with 192.168.20.236 over TCP port 22. ,Malicious,False Positive,Closed
02/01/2025,07:53:00 AM,849292825800109217,Port Scan Detected,Medium,192.168.22.146,TCP port 5900,192.168.22.8,Host 192.168.22.146 shows port scan detected communication with 192.168.22.8 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/30/2025,09:19:00 AM,691431564859229956,UDA - Trojan Horse Traffic,High,192.168.14.57,TCP port 80,192.168.21.150,Host 192.168.14.57 shows brute force attempt communication with 192.168.21.150 over TCP port 80. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/17/2025,03:18:00 AM,520204523046648066,Unauthorized Access Attempt,Critical,192.168.28.197,UDP port 3389,192.168.18.225,Host 192.168.28.197 shows unauthorized access attempt communication with 192.168.18.225 over UDP port 3389. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/04/2025,05:05:00 PM,212496863894547895,UDA - Trojan Horse Traffic,Medium,192.168.10.73,TCP port 53,192.168.21.31,Host 192.168.10.73 shows port scan detected communication with 192.168.21.31 over TCP port 53. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/14/2025,08:29:00 AM,796643758876423093,Suspicious DNS Query,High,192.168.11.7,TCP port 1492,192.168.18.13,Host 192.168.11.7 shows uda - trojan horse traffic communication with 192.168.18.13 over TCP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/14/2025,10:27:00 PM,514399502838967058,Suspicious DNS Query,Low,192.168.6.236,TCP port 3389,192.168.9.106,Host 192.168.6.236 shows port scan detected communication with 192.168.9.106 over TCP port 3389. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated
01/03/2025,07:36:00 PM,789538171928443879,UDA - Trojan Horse Traffic,High,192.168.15.196,UDP port 22,192.168.3.185,Host 192.168.15.196 shows uda - trojan horse traffic communication with 192.168.3.185 over UDP port 22. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/01/2025,06:03:00 AM,715085765079518588,Suspicious DNS Query,Medium,192.168.11.115,UDP port 443,192.168.14.172,Host 192.168.11.115 shows unauthorized access attempt communication with 192.168.14.172 over UDP port 443. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/25/2025,05:20:00 AM,698688566944597979,Port Scan Detected,High,192.168.4.104,TCP port 53,192.168.29.189,Host 192.168.4.104 shows uda - trojan horse traffic communication with 192.168.29.189 over TCP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/25/2025,11:10:00 AM,238393841565651331,Anomalous SSH Activity,Low,192.168.10.150,UDP port 8080,192.168.21.129,Host 192.168.10.150 shows unauthorized access attempt communication with 192.168.21.129 over UDP port 8080. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/29/2025,05:59:00 PM,533263537368450779,UDA - Trojan Horse Traffic,Critical,192.168.11.253,UDP port 5900,192.168.8.222,Host 192.168.11.253 shows port scan detected communication with 192.168.8.222 over UDP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/01/2025,03:40:00 AM,184122617490353951,Malware Beaconing,Critical,192.168.5.139,UDP port 53,192.168.20.250,Host 192.168.5.139 shows anomalous ssh activity communication with 192.168.20.250 over UDP port 53. ,Malicious,Policy Violation,Escalated
01/26/2025,01:35:00 PM,153658054997404585,Malware Beaconing,Medium,192.168.17.45,ICMP port 1492,192.168.24.208,Host 192.168.17.45 shows uda - trojan horse traffic communication with 192.168.24.208 over ICMP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/16/2025,07:53:00 PM,139077885518094416,Data Exfiltration Pattern,Low,192.168.2.20,TCP port 443,192.168.12.71,Host 192.168.2.20 shows unauthorized access attempt communication with 192.168.12.71 over TCP port 443. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/07/2025,10:11:00 PM,491197854362888892,Port Scan Detected,Critical,192.168.20.102,TCP port 80,192.168.11.216,Host 192.168.20.102 shows brute force attempt communication with 192.168.11.216 over TCP port 80. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/19/2025,06:37:00 AM,251448125404691755,Anomalous SSH Activity,Low,192.168.23.7,ICMP port 53,192.168.24.120,Host 192.168.23.7 shows malware beaconing communication with 192.168.24.120 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/06/2025,04:18:00 AM,901652081542861050,Brute Force Attempt,Critical,192.168.15.210,UDP port 80,192.168.4.196,Host 192.168.15.210 shows suspicious dns query communication with 192.168.4.196 over UDP port 80. ,Malicious,False Positive,Closed
01/15/2025,05:36:00 AM,560878577918574152,Port Scan Detected,Low,192.168.5.99,ICMP port 8080,192.168.11.246,Host 192.168.5.99 shows anomalous ssh activity communication with 192.168.11.246 over ICMP port 8080. ,Legitimate,Policy Violation,Escalated
01/29/2025,07:47:00 PM,958169989185301914,UDA - Trojan Horse Traffic,Critical,192.168.28.189,UDP port 443,192.168.25.193,Host 192.168.28.189 shows port scan detected communication with 192.168.25.193 over UDP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/21/2025,07:50:00 PM,937455050951006283,Data Exfiltration Pattern,Low,192.168.30.236,ICMP port 3389,192.168.14.203,Host 192.168.30.236 shows unauthorized access attempt communication with 192.168.14.203 over ICMP port 3389. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/22/2025,02:09:00 PM,788932154965657181,Brute Force Attempt,High,192.168.27.124,TCP port 5900,192.168.16.168,Host 192.168.27.124 shows port scan detected communication with 192.168.16.168 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/02/2025,06:41:00 AM,279807416336996728,Brute Force Attempt,Low,192.168.5.254,TCP port 443,192.168.10.158,Host 192.168.5.254 shows port scan detected communication with 192.168.10.158 over TCP port 443. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated
01/19/2025,11:52:00 PM,902626081738684569,Anomalous SSH Activity,Low,192.168.18.185,UDP port 80,192.168.21.163,Host 192.168.18.185 shows brute force attempt communication with 192.168.21.163 over UDP port 80. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated
01/03/2025,02:13:00 PM,473658162220623931,UDA - Trojan Horse Traffic,Low,192.168.8.111,UDP port 80,192.168.23.97,Host 192.168.8.111 shows port scan detected communication with 192.168.23.97 over UDP port 80. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated
01/29/2025,01:09:00 AM,392257924101502980,Suspicious DNS Query,High,192.168.3.81,ICMP port 1492,192.168.10.28,Host 192.168.3.81 shows unauthorized access attempt communication with 192.168.10.28 over ICMP port 1492. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/02/2025,02:02:00 PM,538938158412829066,Data Exfiltration Pattern,High,192.168.3.79,UDP port 3389,192.168.29.155,Host 192.168.3.79 shows data exfiltration pattern communication with 192.168.29.155 over UDP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/28/2025,08:58:00 PM,552900307298209070,Unauthorized Access Attempt,Critical,192.168.18.171,TCP port 1492,192.168.9.100,Host 192.168.18.171 shows data exfiltration pattern communication with 192.168.9.100 over TCP port 1492. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked
01/01/2025,12:27:00 AM,283271185892922862,Port Scan Detected,Critical,192.168.3.209,ICMP port 5900,192.168.23.3,Host 192.168.3.209 shows data exfiltration pattern communication with 192.168.23.3 over ICMP port 5900. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked
01/29/2025,10:13:00 PM,720543042213301903,Suspicious DNS Query,Low,192.168.9.248,UDP port 443,192.168.13.218,Host 192.168.9.248 shows port scan detected communication with 192.168.13.218 over UDP port 443. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated
01/15/2025,10:54:00 AM,447011975675236216,Suspicious DNS Query,High,192.168.18.70,UDP port 22,192.168.3.72,Host 192.168.18.70 shows port scan detected communication with 192.168.3.72 over UDP port 22. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/23/2025,06:20:00 PM,450135467044386273,UDA - Trojan Horse Traffic,High,192.168.23.211,TCP port 3389,192.168.16.66,Host 192.168.23.211 shows uda - trojan horse traffic communication with 192.168.16.66 over TCP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/28/2025,01:37:00 PM,675125014991952709,Unauthorized Access Attempt,Low,192.168.12.54,ICMP port 443,192.168.26.61,Host 192.168.12.54 shows uda - trojan horse traffic communication with 192.168.26.61 over ICMP port 443. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/29/2025,01:41:00 PM,547331803229456962,Port Scan Detected,Critical,192.168.10.14,ICMP port 53,192.168.2.57,Host 192.168.10.14 shows uda - trojan horse traffic communication with 192.168.2.57 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
02/03/2025,02:21:00 PM,376365017015140009,Port Scan Detected,Medium,192.168.23.245,ICMP port 1492,192.168.13.136,Host 192.168.23.245 shows data exfiltration pattern communication with 192.168.13.136 over ICMP port 1492. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/12/2025,11:19:00 PM,161429837372894248,Malware Beaconing,Critical,192.168.4.3,TCP port 53,192.168.2.90,Host 192.168.4.3 shows anomalous ssh activity communication with 192.168.2.90 over TCP port 53. ,Malicious,Policy Violation,Escalated
01/10/2025,03:10:00 PM,597464627266824760,Unauthorized Access Attempt,Medium,192.168.12.25,TCP port 80,192.168.1.236,Host 192.168.12.25 shows data exfiltration pattern communication with 192.168.1.236 over TCP port 80. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/22/2025,04:25:00 PM,219141949782232462,Port Scan Detected,High,192.168.30.195,TCP port 443,192.168.7.88,Host 192.168.30.195 shows data exfiltration pattern communication with 192.168.7.88 over TCP port 443. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked
02/03/2025,11:55:00 PM,194070635068258297,Port Scan Detected,Medium,192.168.30.184,ICMP port 443,192.168.12.45,Host 192.168.30.184 shows port scan detected communication with 192.168.12.45 over ICMP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/04/2025,07:14:00 PM,288460518195825848,Malware Beaconing,High,192.168.3.195,UDP port 5900,192.168.28.146,Host 192.168.3.195 shows uda - trojan horse traffic communication with 192.168.28.146 over UDP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/09/2025,07:41:00 AM,770900520920085847,Anomalous SSH Activity,Medium,192.168.27.188,TCP port 3389,192.168.26.98,Host 192.168.27.188 shows data exfiltration pattern communication with 192.168.26.98 over TCP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/04/2025,01:25:00 AM,339939163432455285,Port Scan Detected,High,192.168.14.26,ICMP port 1492,192.168.13.105,Host 192.168.14.26 shows malware beaconing communication with 192.168.13.105 over ICMP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/19/2025,12:43:00 PM,992670324205708297,Anomalous SSH Activity,High,192.168.23.136,ICMP port 1492,192.168.12.2,Host 192.168.23.136 shows brute force attempt communication with 192.168.12.2 over ICMP port 1492. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/08/2025,12:32:00 AM,882396007457563083,Malware Beaconing,Critical,192.168.7.36,UDP port 3389,192.168.19.57,Host 192.168.7.36 shows brute force attempt communication with 192.168.19.57 over UDP port 3389. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/26/2025,05:54:00 AM,290689608460564123,Malware Beaconing,High,192.168.23.85,ICMP port 53,192.168.6.117,Host 192.168.23.85 shows brute force attempt communication with 192.168.6.117 over ICMP port 53. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/06/2025,11:14:00 PM,104183608486398530,Data Exfiltration Pattern,High,192.168.23.10,ICMP port 22,192.168.4.249,Host 192.168.23.10 shows suspicious dns query communication with 192.168.4.249 over ICMP port 22. ,Malicious,False Positive,Closed
01/14/2025,12:18:00 PM,426524083324808017,Port Scan Detected,High,192.168.18.146,ICMP port 5900,192.168.3.53,Host 192.168.18.146 shows malware beaconing communication with 192.168.3.53 over ICMP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
